;0;1;2;3
98;P1;00011110101111110000010101;Done;
99;P2;00011110101111110000010101;Done;
100;C;10001010001100001011110011;Creating SARIMAX;
101;F1;10001010001100001011110011;Before fitting;
102;F2;10001010001100001011110011;After fitting;1.365881800000352
103;P1;10001010001100001011110011;Done;
104;P2;10001010001100001011110011;Done;
105;C;00001001001110110111111101;Creating SARIMAX;
106;F1;00001001001110110111111101;Before fitting;
107;F2;00001001001110110111111101;After fitting;3.4121751999996377
108;P1;00001001001110110111111101;Done;
109;P2;00001001001110110111111101;Done;
110;C;11101100100101010111101001;Creating SARIMAX;
111;F1;11101100100101010111101001;Before fitting;
112;F2;11101100100101010111101001;After fitting;0.30200590000004013
113;P1;11101100100101010111101001;Done;
114;P2;11101100100101010111101001;Done;
115;C;00111110000110101101101000;Creating SARIMAX;
116;F1;00111110000110101101101000;Before fitting;
117;F2;00111110000110101101101000;After fitting;0.18779019999965385
118;P1;00111110000110101101101000;Done;
119;P2;00111110000110101101101000;Done;
120;C;11110111000010010110110000;Creating SARIMAX;
121;F1;11110111000010010110110000;Before fitting;
122;F2;11110111000010010110110000;After fitting;0.4482140999998592
123;P1;11110111000010010110110000;Done;
124;P2;11110111000010010110110000;Done;
125;C;00001110010010100110110000;Creating SARIMAX;
126;F1;00001110010010100110110000;Before fitting;
127;F2;00001110010010100110110000;After fitting;0.14523800000006304
128;P1;00001110010010100110110000;Done;
129;P2;00001110010010100110110000;Done;
130;C;10011110010010101110110000;Creating SARIMAX;
131;F1;10011110010010101110110000;Before fitting;
132;F2;10011110010010101110110000;After fitting;0.21369080000022223
133;P1;10011110010010101110110000;Done;
134;P2;10011110010010101110110000;Done;
135;C;00001110010010100110110000;Creating SARIMAX;
136;F1;00001110010010100110110000;Before fitting;
137;F2;00001110010010100110110000;After fitting;0.15330489999996644
138;P1;00001110010010100110110000;Done;
139;P2;00001110010010100110110000;Done;
140;C;00001110010010100110100000;Creating SARIMAX;
141;F1;00001110010010100110100000;Before fitting;
142;F2;00001110010010100110100000;After fitting;0.15214830000013535
143;P1;00001110010010100110100000;Done;
144;P2;00001110010010100110100000;Done;
145;C;00001110010010100110100001;Creating SARIMAX;
146;F1;00001110010010100110100001;Before fitting;
147;F2;00001110010010100110100001;After fitting;0.15127570000004198
148;P1;00001110010010100110100001;Done;
149;P2;00001110010010100110100001;Done;
150;C;00000111010010000110100001;Creating SARIMAX;
151;F1;00000111010010000110100001;Before fitting;
152;F2;00000111010010000110100001;After fitting;0.15140070000006745
153;P1;00000111010010000110100001;Done;
154;P2;00000111010010000110100001;Done;
155;C;00001110010010100110100001;Creating SARIMAX;
156;F1;00001110010010100110100001;Before fitting;
157;F2;00001110010010100110100001;After fitting;0.1537308000001758
158;P1;00001110010010100110100001;Done;
159;P2;00001110010010100110100001;Done;
160;C;00001110010010100111100001;Creating SARIMAX;
161;F1;00001110010010100111100001;Before fitting;
162;F2;00001110010010100111100001;After fitting;0.16039420000015525
163;P1;00001110010010100111100001;Done;
164;P2;00001110010010100111100001;Done;
165;C;00001111010011100111100001;Creating SARIMAX;
166;F1;00001111010011100111100001;Before fitting;
167;F2;00001111010011100111100001;After fitting;0.1779397999998764
168;P1;00001111010011100111100001;Done;
169;P2;00001111010011100111100001;Done;
170;C;00001110010010100111100001;Creating SARIMAX;
171;F1;00001110010010100111100001;Before fitting;
172;F2;00001110010010100111100001;After fitting;0.1627731000003223
173;P1;00001110010010100111100001;Done;
174;P2;00001110010010100111100001;Done;
175;C;00001110010010100111101001;Creating SARIMAX;
176;F1;00001110010010100111101001;Before fitting;
177;F2;00001110010010100111101001;After fitting;0.1701164000000972
178;P1;00001110010010100111101001;Done;
179;P2;00001110010010100111101001;Done;
180;C;00011110010010100111101001;Creating SARIMAX;
181;F1;00011110010010100111101001;Before fitting;
182;F2;00011110010010100111101001;After fitting;0.1032961000000796
183;P1;00011110010010100111101001;Done;
184;P2;00011110010010100111101001;Done;
185;C;00011110010010100111101100;Creating SARIMAX;
186;F1;00011110010010100111101100;Before fitting;
187;F2;00011110010010100111101100;After fitting;0.32771669999965525
188;P1;00011110010010100111101100;Done;
189;P2;00011110010010100111101100;Done;
190;C;00010110010010100111101100;Creating SARIMAX;
191;F1;00010110010010100111101100;Before fitting;
192;F2;00010110010010100111101100;After fitting;0.32638219999989815
193;P1;00010110010010100111101100;Done;
194;P2;00010110010010100111101100;Done;
195;C;00010110010010100111101100;Creating SARIMAX;
196;F1;00010110010010100111101100;Before fitting;
197;F2;00010110010010100111101100;After fitting;0.3243044999999256
198;P1;00010110010010100111101100;Done;
199;P2;00010110010010100111101100;Done;
200;C;00010110010010100111101100;Creating SARIMAX;
201;F1;00010110010010100111101100;Before fitting;
202;F2;00010110010010100111101100;After fitting;0.3189130999999179
203;P1;00010110010010100111101100;Done;
204;P2;00010110010010100111101100;Done;
205;C;00010110010010100111101100;Creating SARIMAX;
206;F1;00010110010010100111101100;Before fitting;
207;F2;00010110010010100111101100;After fitting;0.32381230000009964
208;P1;00010110010010100111101100;Done;
209;P2;00010110010010100111101100;Done;
210;C;00010110010010100111101100;Creating SARIMAX;
211;F1;00010110010010100111101100;Before fitting;
212;F2;00010110010010100111101100;After fitting;0.32855079999990267
213;P1;00010110010010100111101100;Done;
214;P2;00010110010010100111101100;Done;
215;C;00010110010000100111101101;Creating SARIMAX;
216;F1;00010110010000100111101101;Before fitting;
217;F2;00010110010000100111101101;After fitting;0.14270299999998315
218;P1;00010110010000100111101101;Done;
219;P2;00010110010000100111101101;Done;
220;C;00010110010010100111101100;Creating SARIMAX;
221;F1;00010110010010100111101100;Before fitting;
222;F2;00010110010010100111101100;After fitting;0.3340336000001116
223;P1;00010110010010100111101100;Done;
224;P2;00010110010010100111101100;Done;
225;C;00010110010010100111101100;Creating SARIMAX;
226;F1;00010110010010100111101100;Before fitting;
227;F2;00010110010010100111101100;After fitting;0.3171791999998277
228;P1;00010110010010100111101100;Done;
229;P2;00010110010010100111101100;Done;
230;C;00000110010010100111101100;Creating SARIMAX;
231;F1;00000110010010100111101100;Before fitting;
232;F2;00000110010010100111101100;After fitting;0.20539330000019618
233;P1;00000110010010100111101100;Done;
234;P2;00000110010010100111101100;Done;
235;C;01010110010010100111101100;Creating SARIMAX;
236;F1;01010110010010100111101100;Before fitting;
237;F2;01010110010010100111101100;After fitting;0.5787952999999106
238;P1;01010110010010100111101100;Done;
239;P2;01010110010010100111101100;Done;
240;C;00110110010010100110101100;Creating SARIMAX;
241;F1;00110110010010100110101100;Before fitting;
242;F2;00110110010010100110101100;After fitting;0.7686490999999478
243;P1;00110110010010100110101100;Done;
244;P2;00110110010010100110101100;Done;
245;C;00010110000010100111111100;Creating SARIMAX;
246;F1;00010110000010100111111100;Before fitting;
247;F2;00010110000010100111111100;After fitting;0.3122462999999698
248;P1;00010110000010100111111100;Done;
249;P2;00010110000010100111111100;Done;
250;C;00010100000011100111111100;Creating SARIMAX;
251;F1;00010100000011100111111100;Before fitting;
252;F2;00010100000011100111111100;After fitting;0.29737699999986944
253;P1;00010100000011100111111100;Done;
254;P2;00010100000011100111111100;Done;
255;C;00010100000011100111111100;Creating SARIMAX;
256;F1;00010100000011100111111100;Before fitting;
257;F2;00010100000011100111111100;After fitting;0.3011907000000065
258;P1;00010100000011100111111100;Done;
259;P2;00010100000011100111111100;Done;
260;C;00010101010001100111111101;Creating SARIMAX;
261;F1;00010101010001100111111101;Before fitting;
262;F2;00010101010001100111111101;After fitting;0.18923140000015337
263;P1;00010101010001100111111101;Done;
264;P2;00010101010001100111111101;Done;
265;C;00010101010001101011111101;Creating SARIMAX;
266;F1;00010101010001101011111101;Before fitting;
267;F2;00010101010001101011111101;After fitting;0.11058289999982662
268;P1;00010101010001101011111101;Done;
269;P2;00010101010001101011111101;Done;
270;C;00010101010001101011111101;Creating SARIMAX;
271;F1;00010101010001101011111101;Before fitting;
272;F2;00010101010001101011111101;After fitting;0.13078829999994923
273;P1;00010101010001101011111101;Done;
274;P2;00010101010001101011111101;Done;
275;C;00010101110001001011111001;Creating SARIMAX;
276;F1;00010101110001001011111001;Before fitting;
277;F2;00010101110001001011111001;After fitting;0.1097794000002068
278;P1;00010101110001001011111001;Done;
279;P2;00010101110001001011111001;Done;
280;C;00010101010001101011111101;Creating SARIMAX;
281;F1;00010101010001101011111101;Before fitting;
282;F2;00010101010001101011111101;After fitting;0.11529169999994338
283;P1;00010101010001101011111101;Done;
284;P2;00010101010001101011111101;Done;
285;C;00010100010001101011111101;Creating SARIMAX;
286;F1;00010100010001101011111101;Before fitting;
287;F2;00010100010001101011111101;After fitting;0.1098085000003266
288;P1;00010100010001101011111101;Done;
289;P2;00010100010001101011111101;Done;
290;C;00010101010001111011110100;Creating SARIMAX;
291;F1;00010101010001111011110100;Before fitting;
292;F2;00010101010001111011110100;After fitting;0.5092588000002252
293;P1;00010101010001111011110100;Done;
294;P2;00010101010001111011110100;Done;
295;C;00000101010001101011111101;Creating SARIMAX;
296;F1;00000101010001101011111101;Before fitting;
297;F2;00000101010001101011111101;After fitting;0.07165829999985363
298;P1;00000101010001101011111101;Done;
299;P2;00000101010001101011111101;Done;
300;C;00010101010101101011101111;Creating SARIMAX;
301;F1;00010101010101101011101111;Before fitting;
302;F2;00010101010101101011101111;After fitting;1.2381250999997064
303;P1;00010101010101101011101111;Done;
304;P2;00010101010101101011101111;Done;
305;C;00010101010001101011111101;Creating SARIMAX;
306;F1;00010101010001101011111101;Before fitting;
307;F2;00010101010001101011111101;After fitting;0.113807999999608
308;P1;00010101010001101011111101;Done;
309;P2;00010101010001101011111101;Done;
310;C;00110101010001101011111101;Creating SARIMAX;
311;F1;00110101010001101011111101;Before fitting;
312;F2;00110101010001101011111101;After fitting;0.42117899999993824
313;P1;00110101010001101011111101;Done;
314;P2;00110101010001101011111101;Done;
315;C;00110101010001100011111101;Creating SARIMAX;
316;F1;00110101010001100011111101;Before fitting;
317;F2;00110101010001100011111101;After fitting;0.4247317999997904
318;P1;00110101010001100011111101;Done;
319;P2;00110101010001100011111101;Done;
320;C;00110101010001100011101101;Creating SARIMAX;
321;F1;00110101010001100011101101;Before fitting;
322;F2;00110101010001100011101101;After fitting;0.41368229999989126
323;P1;00110101010001100011101101;Done;
324;P2;00110101010001100011101101;Done;
325;C;00110101010001100011101101;Creating SARIMAX;
326;F1;00110101010001100011101101;Before fitting;
327;F2;00110101010001100011101101;After fitting;0.41154299999971045
328;P1;00110101010001100011101101;Done;
329;P2;00110101010001100011101101;Done;
330;C;00110101010001100011101101;Creating SARIMAX;
331;F1;00110101010001100011101101;Before fitting;
332;F2;00110101010001100011101101;After fitting;0.4046959999996034
333;P1;00110101010001100011101101;Done;
334;P2;00110101010001100011101101;Done;
335;C;10110101011001100011101101;Creating SARIMAX;
336;F1;10110101011001100011101101;Before fitting;
337;F2;10110101011001100011101101;After fitting;5.720298100000036
338;P1;10110101011001100011101101;Done;
339;P2;10110101011001100011101101;Done;
340;C;10110101011001100011101101;Creating SARIMAX;
341;F1;10110101011001100011101101;Before fitting;
342;F2;10110101011001100011101101;After fitting;5.858301599999777
343;P1;10110101011001100011101101;Done;
344;P2;10110101011001100011101101;Done;
345;C;10110101011001100011101101;Creating SARIMAX;
346;F1;10110101011001100011101101;Before fitting;
347;F2;10110101011001100011101101;After fitting;5.741506900000331
348;P1;10110101011001100011101101;Done;
349;P2;10110101011001100011101101;Done;
350;C;10110101011001110111101111;Creating SARIMAX;
351;F1;10110101011001110111101111;Before fitting;
352;F2;10110101011001110111101111;After fitting;4.545300600000246
353;P1;10110101011001110111101111;Done;
354;P2;10110101011001110111101111;Done;
355;C;10110101011101100011101101;Creating SARIMAX;
356;F1;10110101011101100011101101;Before fitting;
357;F2;10110101011101100011101101;After fitting;8.068708799999968
358;P1;10110101011101100011101101;Done;
359;P2;10110101011101100011101101;Done;
360;C;10110101011001100011101101;Creating SARIMAX;
361;F1;10110101011001100011101101;Before fitting;
362;F2;10110101011001100011101101;After fitting;6.147527099999934
363;P1;10110101011001100011101101;Done;
364;P2;10110101011001100011101101;Done;
365;C;10110101011001110011101100;Creating SARIMAX;
366;F1;10110101011001110011101100;Before fitting;
367;F2;10110101011001110011101100;After fitting;8.711885900000198
368;P1;10110101011001110011101100;Done;
369;P2;10110101011001110011101100;Done;
370;C;10110101011001000011101101;Creating SARIMAX;
371;F1;10110101011001000011101101;Before fitting;
372;F2;10110101011001000011101101;After fitting;5.516057799999999
373;P1;10110101011001000011101101;Done;
374;P2;10110101011001000011101101;Done;
375;C;10110101011101001001101101;Creating SARIMAX;
376;F1;10110101011101001001101101;Before fitting;
377;F2;10110101011101001001101101;After fitting;12.371652199999971
378;P1;10110101011101001001101101;Done;
379;P2;10110101011101001001101101;Done;
380;C;10110101011001000011001101;Creating SARIMAX;
381;F1;10110101011001000011001101;Before fitting;
382;F2;10110101011001000011001101;After fitting;5.755768900000021
383;P1;10110101011001000011001101;Done;
384;P2;10110101011001000011001101;Done;
385;C;10110101011001000011001111;Creating SARIMAX;
386;F1;10110101011001000011001111;Before fitting;
387;F2;10110101011001000011001111;After fitting;3.680826799999977
388;P1;10110101011001000011001111;Done;
389;P2;10110101011001000011001111;Done;
390;C;11110001011001000010001101;Creating SARIMAX;
391;F1;11110001011001000010001101;Before fitting;
392;F2;11110001011001000010001101;After fitting;4.879515399999946
393;P1;11110001011001000010001101;Done;
394;P2;11110001011001000010001101;Done;
395;C;10110101011001000011001101;Creating SARIMAX;
396;F1;10110101011001000011001101;Before fitting;
397;F2;10110101011001000011001101;After fitting;5.5440968999996585
398;P1;10110101011001000011001101;Done;
399;P2;10110101011001000011001101;Done;
400;C;00110101011001000011101100;Creating SARIMAX;
401;F1;00110101011001000011101100;Before fitting;
402;F2;00110101011001000011101100;After fitting;2.3077979000004234
403;P1;00110101011001000011101100;Done;
404;P2;00110101011001000011101100;Done;
405;C;10100111011001000011001101;Creating SARIMAX;
406;F1;10100111011001000011001101;Before fitting;
407;F2;10100111011001000011001101;After fitting;9.695711000000301
408;P1;10100111011001000011001101;Done;
409;P2;10100111011001000011001101;Done;
410;C;00110101011001000011001101;Creating SARIMAX;
411;F1;00110101011001000011001101;Before fitting;
412;F2;00110101011001000011001101;After fitting;2.494642600000134
413;P1;00110101011001000011001101;Done;
414;P2;00110101011001000011001101;Done;
415;C;10110101011001000001001101;Creating SARIMAX;
416;F1;10110101011001000001001101;Before fitting;
417;F2;10110101011001000001001101;After fitting;11.378958199999943
418;P1;10110101011001000001001101;Done;
419;P2;10110101011001000001001101;Done;
420;C;10110101011001000001001111;Creating SARIMAX;
421;F1;10110101011001000001001111;Before fitting;
422;F2;10110101011001000001001111;After fitting;3.7473924999999326
423;P1;10110101011001000001001111;Done;
424;P2;10110101011001000001001111;Done;
425;C;10110101111001000001001101;Creating SARIMAX;
426;F1;10110101111001000001001101;Before fitting;
427;F2;10110101111001000001001101;After fitting;10.327530000000024
428;P1;10110101111001000001001101;Done;
429;P2;10110101111001000001001101;Done;
430;C;10110101011001000001101101;Creating SARIMAX;
431;F1;10110101011001000001101101;Before fitting;
432;F2;10110101011001000001101101;After fitting;11.34693040000002
433;P1;10110101011001000001101101;Done;
434;P2;10110101011001000001101101;Done;
435;C;10110101011001000001111101;Creating SARIMAX;
436;F1;10110101011001000001111101;Before fitting;
437;F2;10110101011001000001111101;After fitting;11.530154700000367
438;P1;10110101011001000001111101;Done;
439;P2;10110101011001000001111101;Done;
440;C;10110101011011000001111000;Creating SARIMAX;
441;F1;10110101011011000001111000;Before fitting;
442;F2;10110101011011000001111000;After fitting;0.38056959999994433
443;P1;10110101011011000001111000;Done;
444;P2;10110101011011000001111000;Done;
445;C;10110101011001010001111101;Creating SARIMAX;
446;F1;10110101011001010001111101;Before fitting;
447;F2;10110101011001010001111101;After fitting;16.02201019999984
448;P1;10110101011001010001111101;Done;
449;P2;10110101011001010001111101;Done;
450;C;10110101011001000001111100;Creating SARIMAX;
451;F1;10110101011001000001111100;Before fitting;
452;F2;10110101011001000001111100;After fitting;11.267487799999799
453;P1;10110101011001000001111100;Done;
454;P2;10110101011001000001111100;Done;
455;C;10110101011001000001111100;Creating SARIMAX;
456;F1;10110101011001000001111100;Before fitting;
457;F2;10110101011001000001111100;After fitting;11.522950100000344
458;P1;10110101011001000001111100;Done;
459;P2;10110101011001000001111100;Done;
460;C;10111001011001000001111100;Creating SARIMAX;
461;F1;10111001011001000001111100;Before fitting;
462;F2;10111001011001000001111100;After fitting;2.7067174000003433
463;P1;10111001011001000001111100;Done;
464;P2;10111001011001000001111100;Done;
465;C;10110101011001000001111101;Creating SARIMAX;
466;F1;10110101011001000001111101;Before fitting;
467;F2;10110101011001000001111101;After fitting;11.797158500000023
468;P1;10110101011001000001111101;Done;
469;P2;10110101011001000001111101;Done;
470;C;10110101011001000001111101;Creating SARIMAX;
471;F1;10110101011001000001111101;Before fitting;
472;F2;10110101011001000001111101;After fitting;12.148589599999923
473;P1;10110101011001000001111101;Done;
474;P2;10110101011001000001111101;Done;
475;C;10110101011001000001111101;Creating SARIMAX;
476;F1;10110101011001000001111101;Before fitting;
477;F2;10110101011001000001111101;After fitting;11.599785599999905
478;P1;10110101011001000001111101;Done;
479;P2;10110101011001000001111101;Done;
480;C;10100101011001000001111101;Creating SARIMAX;
481;F1;10100101011001000001111101;Before fitting;
482;F2;10100101011001000001111101;After fitting;7.857062799999767
483;P1;10100101011001000001111101;Done;
484;P2;10100101011001000001111101;Done;
485;C;10100101011001000001111101;Creating SARIMAX;
486;F1;10100101011001000001111101;Before fitting;
487;F2;10100101011001000001111101;After fitting;7.801153700000214
488;P1;10100101011001000001111101;Done;
489;P2;10100101011001000001111101;Done;
490;C;10100101011001000001111101;Creating SARIMAX;
491;F1;10100101011001000001111101;Before fitting;
492;F2;10100101011001000001111101;After fitting;7.790005800000017
493;P1;10100101011001000001111101;Done;
494;P2;10100101011001000001111101;Done;
495;C;10100101011001000001111101;Creating SARIMAX;
496;F1;10100101011001000001111101;Before fitting;
497;F2;10100101011001000001111101;After fitting;7.871798399999989
498;P1;10100101011001000001111101;Done;
499;P2;10100101011001000001111101;Done;
500;C;10100101011001000001111101;Creating SARIMAX;
501;F1;10100101011001000001111101;Before fitting;
502;F2;10100101011001000001111101;After fitting;7.802758399999675
503;P1;10100101011001000001111101;Done;
504;P2;10100101011001000001111101;Done;
505;C;10100111011001000001111101;Creating SARIMAX;
506;F1;10100111011001000001111101;Before fitting;
507;F2;10100111011001000001111101;After fitting;13.158141800000067
508;P1;10100111011001000001111101;Done;
509;P2;10100111011001000001111101;Done;
510;C;11100100010001000001111101;Creating SARIMAX;
511;F1;11100100010001000001111101;Before fitting;
512;F2;11100100010001000001111101;After fitting;5.455214999999953
513;P1;11100100010001000001111101;Done;
514;P2;11100100010001000001111101;Done;
515;C;10100101011001000001111001;Creating SARIMAX;
516;F1;10100101011001000001111001;Before fitting;
517;F2;10100101011001000001111001;After fitting;0.28522479999992356
518;P1;10100101011001000001111001;Done;
519;P2;10100101011001000001111001;Done;
520;C;10100101011001000001111111;Creating SARIMAX;
521;F1;10100101011001000001111111;Before fitting;
522;F2;10100101011001000001111111;After fitting;3.1647492000001876
523;P1;10100101011001000001111111;Done;
524;P2;10100101011001000001111111;Done;
525;C;10100101011101000001111101;Creating SARIMAX;
526;F1;10100101011101000001111101;Before fitting;
527;F2;10100101011101000001111101;After fitting;10.46437160000005
528;P1;10100101011101000001111101;Done;
529;P2;10100101011101000001111101;Done;
530;C;10100111011001000101111001;Creating SARIMAX;
531;F1;10100111011001000101111001;Before fitting;
532;F2;10100111011001000101111001;After fitting;0.2763582999996288
533;P1;10100111011001000101111001;Done;
534;P2;10100111011001000101111001;Done;
535;C;10100101011001000001111101;Creating SARIMAX;
536;F1;10100101011001000001111101;Before fitting;
537;F2;10100101011001000001111101;After fitting;7.822215800000322
538;P1;10100101011001000001111101;Done;
539;P2;10100101011001000001111101;Done;
540;C;11100101011001000001111101;Creating SARIMAX;
541;F1;11100101011001000001111101;Before fitting;
542;F2;11100101011001000001111101;After fitting;14.641527700000097
543;P1;11100101011001000001111101;Done;
544;P2;11100101011001000001111101;Done;
545;C;10100101011001000001111101;Creating SARIMAX;
546;F1;10100101011001000001111101;Before fitting;
547;F2;10100101011001000001111101;After fitting;7.938464599999861
548;P1;10100101011001000001111101;Done;
549;P2;10100101011001000001111101;Done;
550;C;10100101011001000001111101;Creating SARIMAX;
551;F1;10100101011001000001111101;Before fitting;
552;F2;10100101011001000001111101;After fitting;7.78097949999983
553;P1;10100101011001000001111101;Done;
554;P2;10100101011001000001111101;Done;
555;C;00110101011001000001111101;Creating SARIMAX;
556;F1;00110101011001000001111101;Before fitting;
557;F2;00110101011001000001111101;After fitting;4.503689799999847
558;P1;00110101011001000001111101;Done;
559;P2;00110101011001000001111101;Done;
560;C;10101101011001010001111101;Creating SARIMAX;
561;F1;10101101011001010001111101;Before fitting;
562;F2;10101101011001010001111101;After fitting;8.68837220000023
563;P1;10101101011001010001111101;Done;
564;P2;10101101011001010001111101;Done;
565;C;10100101011001000000111001;Creating SARIMAX;
566;F1;10100101011001000000111001;Before fitting;
567;F2;10100101011001000000111001;After fitting;0.21231770000031247
568;P1;10100101011001000000111001;Done;
569;P2;10100101011001000000111001;Done;
570;C;10101101011001000001111101;Creating SARIMAX;
571;F1;10101101011001000001111101;Before fitting;
572;F2;10101101011001000001111101;After fitting;7.751123999999891
573;P1;10101101011001000001111101;Done;
574;P2;10101101011001000001111101;Done;
575;C;10101101011001001001111101;Creating SARIMAX;
576;F1;10101101011001001001111101;Before fitting;
577;F2;10101101011001001001111101;After fitting;7.900849300000118
578;P1;10101101011001001001111101;Done;
579;P2;10101101011001001001111101;Done;
580;C;10101101011001001001110001;Creating SARIMAX;
581;F1;10101101011001001001110001;Before fitting;
582;F2;10101101011001001001110001;After fitting;0.2987588000000869
583;P1;10101101011001001001110001;Done;
584;P2;10101101011001001001110001;Done;
585;C;10101101011001001001111101;Creating SARIMAX;
586;F1;10101101011001001001111101;Before fitting;
587;F2;10101101011001001001111101;After fitting;7.821033499999885
588;P1;10101101011001001001111101;Done;
589;P2;10101101011001001001111101;Done;
590;C;10101101011001001001101101;Creating SARIMAX;
591;F1;10101101011001001001101101;Before fitting;
592;F2;10101101011001001001101101;After fitting;7.857235100000253
593;P1;10101101011001001001101101;Done;
594;P2;10101101011001001001101101;Done;
595;C;10101101011001001001100101;Creating SARIMAX;
596;F1;10101101011001001001100101;Before fitting;
597;F2;10101101011001001001100101;After fitting;7.94843149999997
598;P1;10101101011001001001100101;Done;
599;P2;10101101011001001001100101;Done;
600;C;10101111011001001001100001;Creating SARIMAX;
601;F1;10101111011001001001100001;Before fitting;
602;F2;10101111011001001001100001;After fitting;0.931092499999977
603;P1;10101111011001001001100001;Done;
604;P2;10101111011001001001100001;Done;
605;C;10101101011001001001100101;Creating SARIMAX;
606;F1;10101101011001001001100101;Before fitting;
607;F2;10101101011001001001100101;After fitting;7.919648000000052
608;P1;10101101011001001001100101;Done;
609;P2;10101101011001001001100101;Done;
610;C;10101101011001011001100101;Creating SARIMAX;
611;F1;10101101011001011001100101;Before fitting;
612;F2;10101101011001011001100101;After fitting;8.725016200000027
613;P1;10101101011001011001100101;Done;
614;P2;10101101011001011001100101;Done;
